2024-01-04;19:16:46;354;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;19:30:02;172;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;247/100;(avg);1;100;1;7d
2024-01-04;19:30:17;198;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1591334m/100;(avg);1;100;3;7d
2024-01-04;19:30:32;218;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;7d
2024-01-04;19:30:47;242;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;12;7d
2024-01-04;19:31:02;261;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;24;7d
2024-01-04;19:31:17;284;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;48;7d
2024-01-04;19:35:17;543;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;48;7d
2024-01-04;19:35:32;557;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;19:39:17;798;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;200/100;(avg);1;100;1;7d
2024-01-04;19:39:32;815;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d
2024-01-04;19:40:47;900;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1672500m/100;(avg);1;100;2;7d
2024-01-04;19:41:02;919;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d
2024-01-04;19:41:17;951;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d
2024-01-04;19:41:32;972;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;7d
2024-01-04;19:41:47;994;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;32;7d
2024-01-04;19:42:03;011;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;34;7d
2024-01-04;19:42:13;431;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-04;19:42:13;437;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;34;7d
2024-01-04;19:45:48;258;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;34;7d
2024-01-04;19:46:03;274;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;19:48:03;406;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;138/100;(avg);1;100;1;7d
2024-01-04;19:48:18;424;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d
2024-01-04;19:50:33;563;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;5/100;(avg);1;100;2;7d
2024-01-04;19:50:48;584;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d
2024-01-04;19:51:03;605;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;734/100;(avg);1;100;2;7d
2024-01-04;19:51:18;629;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d
2024-01-04;19:51:33;648;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d1h
2024-01-04;19:51:48;668;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;15;7d1h
2024-01-04;19:56:03;935;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;15;7d1h
2024-01-04;19:56:18;953;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;19:57:49;055;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;275/100;(avg);1;100;1;7d1h
2024-01-04;19:58:04;073;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;3;7d1h
2024-01-04;20:02:49;377;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;3;7d1h
2024-01-04;20:03:04;392;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;20:03:34;435;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1205/100;(avg);1;100;1;7d1h
2024-01-04;20:03:49;487;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;467500m/100;(avg);1;100;4;7d1h
2024-01-04;20:04:04;510;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d1h
2024-01-04;20:04:19;581;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;7d1h
2024-01-04;20:04:34;602;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;7d1h
2024-01-04;20:08:49;878;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;7d1h
2024-01-04;20:09:04;904;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;20:10:50;019;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;114/100;(avg);1;100;1;7d1h
2024-01-04;20:11:05;037;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d1h
2024-01-04;20:15:50;284;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d1h
2024-01-04;20:16:05;302;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;837/100;(avg);1;100;1;7d1h
2024-01-04;20:16:20;330;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d1h
2024-01-04;20:16:35;347;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d1h
2024-01-04;20:16:50;368;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;7d1h
